Name,Type,City,Province,Country,Continent,Latitude,Longitude
Technische Hochschule Köln,institution,Cologne,,Allemagne,Europe,50.933913,6.988513
Technische Universität Darmstadt,institution,Darmstadt,,Allemagne,Europe,49.861480,8.687600
Fachhochschule Erfurt,institution,Erfurt,,Allemagne,Europe,50.972500,11.041111
Karlsruhe Institute of Technology,institution,Karlsruhe,,Allemagne,Europe,49.009389,8.411611
Hochschule Mainz,institution,Mayence,,Allemagne,Europe,50.000000,8.261500
Technische Universität München,institution,Munich,,Allemagne,Europe,48.149100,11.568000
Fachhochschule Münster,institution,Münster,,Allemagne,Europe,51.969000,7.600400
Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,institution,Oldenbourg,,Allemagne,Europe,53.139722,8.209722
"Facultad de Arquitectura, Diseño y Urbanismo - Universidad de Buenos Aires",institution,Buenos Aires,,Argentine,Amérique du Sud,-34.542500,-58.446900
"Facultad de Arquitectura, Urbanismo y Diseño - Universidad Nacional de Córdoba",institution,Córdoba,,Argentine,Amérique du Sud,-31.439600,-64.189700
Technische Universität Wien,institution,Vienne,,Autriche,Europe,48.198956,16.369892
University of Antwerp,institution,Anvers,,Belgique,Europe,51.223160,4.408300
Université Libre de Bruxelles,institution,Bruxelles,,Belgique,Europe,50.827750,4.432750
Université de Liège,institution,Liège,,Belgique,Europe,50.643801,5.586467
Katholieke Universiteit Leuven,institution,Louvain,,Belgique,Europe,50.875600,4.707100
Arts² - École Supérieure des Arts,institution,Mons,,Belgique,Europe,50.449757,3.951727
Faculdade de Arquitetura e Urbanismo - Universidade Federal do Rio de Janeiro,institution,Rio de Janeiro,,Brésil,Amérique du Sud,-22.861200,-43.221700
Pontifícia Universidade Católica do Rio de Janeiro,institution,Rio de Janeiro,,Brésil,Amérique du Sud,-22.979100,-43.232800
Universidade Presbiteriana Mackenzie,institution,São Paulo,,Brésil,Amérique du Sud,-23.547500,-46.651900
Universidad Diego Portales,institution,Santiago,,Chili,Amérique du Sud,-33.444000,-70.654400
Universidad de Santiago de Chile,institution,Santiago,,Chili,Amérique du Sud,-33.451600,-70.682600
College of Architecture and Urban Planning - Tongji University,institution,Shanghai,,Chine,Asie,31.289900,121.501200
Universidad Nacional de Colombia,institution,Bogotá,,Colombie,Amérique du Sud,4.636100,-74.083000
Korea National University of Arts,institution,Séoul,,Corée du Sud,Asie,37.484200,127.006900
Seoul National University,institution,Séoul,,Corée du Sud,Asie,37.459200,126.952700
Escuela Técnica Superior de Arquitectura de Barcelona - Universitat Politècnica de Catalunya,institution,Barcelone,,Espagne,Europe,41.395473,2.155563
Escuela Técnica Superior de Arquitectura de Madrid - Universidad Politécnica de Madrid,institution,Madrid,,Espagne,Europe,40.453611,-3.729167
Escuela Técnica Superior de Arquitectura de Valladolid - Universidad de Valladolid,institution,Valladolid,,Espagne,Europe,41.655180,-4.723700
Eesti Kunstiakadeemia,institution,Tallinn,,Estonie,Europe,59.442222,24.744444
Fondation Maison des Sciences de l'Homme,institution,Paris,,France,Europe,48.836400,2.371400
