Type,Programme,Continent,Country,City,Institution,Institution (full name),Geographic coordinates,Agreement year,Agreement conditions,Duration (months),Language requirements,Places Master Archi-Ingé,Places Master Miv-TTT,Places Master ENSAV,Contact person (incoming mobility),Contact email (incoming mobility),Contact person (outgoing mobility),Contact email (outgoing mobility),Contact person (convention),Contact email (convention),Website,Programmes offered,Info guides
mobilités,ERASMUS,Europe,Allemagne,Cologne,TH Köln,Technische Hochschule Köln,"50.933913, 6.988513",,2,10,"Allemand B1, Anglais B1",1,,1,Sandra Austrup,incomings-exchange@th-koeln.de,Janina Knöll,outgoings@th-koeln.de,Christina Brey,christina.brey@th-koeln.de,https://www.th-koeln.de/en/international_office/erasmus_71492.php,https://www.th-koeln.de/en/academics/programs_5797.php,https://www.ubu.es/sites/default/files/portal_page/files/d_koln04_fact_sheet_21_22.pdf
mobilités,ERASMUS,Europe,Allemagne,Darmstadt,TU Darmstadt,Technische Universität Darmstadt,"49.861480, 8.687600",,2,10,"Allemand A2, Anglais B2",,,2,,europe-incomings@zv.tu-darmstadt.de,,europe-outgoings@zv.tu-darmstadt.de,,visnjic@architektur.tu-darmstadt.de,https://www.architektur.tu-darmstadt.de/fachbereich/index.en.jsp,https://www.tucan.tu-darmstadt.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=ACTION&ARGUMENTS=-AiEjLDEennVD6b3Z4fvQ4s3EFmHT0hXfd-7pCgXDZILJyJh6gPDcAiByxbGgSiJsUv6f9LhYAIYspWj3kpLRiljPGbHJABEHnZA--GOFr8~LAxkSvlqoofDEgQZ56d7NGAdRRe0MDi1Nnd-GKwJVZrobIovE,https://www.runi.ac.il/media/plgdudrj/2025-26_fact_sheet_exchange_overseas.pdf
mobilités,ERASMUS,Europe,Allemagne,Erfurt,FH Erfurt,Fachhochschule Erfurt,"50.972500, 11.041111",2026-2027,2,5,"Allemand B1, Anglais B2",,,2,,,,,,,,,
mobilités,ERASMUS,Europe,Allemagne,Karlsruhe,KIT,Karlsruhe Institute of Technology,"49.009389, 8.411611",,2,10,"Allemand B1, Anglais B2",,1,1,Mia Tjandisaka,erasmus-in@intl.kit.edu,Marco Martori,erasmus-out@intl.kit.edu,Julia Johnsen,,https://www.arch.kit.edu/english/index.php,https://campus.studium.kit.edu/english/events/catalog.php,https://www.intl.kit.edu/download/2024_10_01_KIT%20D%20KARLSRU01%20ERASMUS%20Factsheet.pdf
mobilités,ERASMUS,Europe,Allemagne,Mayence,HS Mainz,Hochschule Mainz,"50.000000, 8.261500",,2,9,"Allemand B1, Anglais B2",,,2,Erich Weiler,erich.weiler@hs-mainz.de,Erich Weiler,erich.weiler@hs-mainz.de,,,https://www.hs-mainz.de/en/about/our-profile/about-the-university/,https://www.hs-mainz.de/en/academics/degree-programs/overview-of-degree-programs/,https://www.hs-mainz.de/studium/international/incoming/
mobilités,ERASMUS,Europe,Allemagne,Munich,TU München,Technische Universität München,"48.149100, 11.568000",,2,10,Allemand A2-B1,1,,1,,outgoing.ad@ed.tum.de,,outgoing.ad@ed.tum.de,,,https://www.arc.ed.tum.de/en/arc/home/,https://www.ed.tum.de/en/ed/studies/,https://www.international.tum.de/en/global/exchange-programs-at-tum/
mobilités,ERASMUS,Europe,Allemagne,Münster,FH Münster,Fachhochschule Münster,"51.969000, 7.600400",,2,10,"Allemand B1, Anglais B1",,,2,Julia Schweifel,julia.schweifel@fh-muenster.de,Julia Schweifel,julia.schweifel@fh-muenster.de,,mueller.katharina@fh-muenster.de,https://en.fh-muenster.de/fb5/index.php,https://en.fh-muenster.de/internationaloffice/i_h/internationale_veranstaltungen.php,https://en.fh-muenster.de/internationaloffice/downloads/Fact_Sheet_for_Partners_2024_2025_DMUNSTER02.pdf
mobilités,ERASMUS,Europe,Allemagne,Oldenbourg,Jade Hochschule,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"53.139722, 8.209722",,2,10,"Allemand B1, Anglais B1",,1,1,Julia Blandfort,julia.blandfort@jade-hs.de,Iris Wilters,iris.wilters@jade-hs.de,Andrea Menn,menn@jade-hs.de,https://www.jade-hs.de/en/the-university/departments/architecture-1/,https://www.jade-hs.de/fileadmin/fb_architektur/downloads/Downloads/Modules_MA_Architecture_Jade_University_04_04_2014.pdf,https://www.jade-hs.de/fileadmin/international_office/JADE_UNIVERSITY_Fact_Sheet_01.pdf
mobilités,ERASMUS,Europe,Autriche,Vienne,TU Wien,Technische Universität Wien,"48.198956, 16.369892",,2,10,"Allemand B1, Anglais B1",1,,1,Dorothea Hochreiner,dorothea.hochreiner@tuwien.ac.at,Dorothea Hochreiner,dorothea.hochreiner@tuwien.ac.at,,,https://ar.tuwien.ac.at/en,https://ar.tuwien.ac.at/en/Studies,https://www.tuwien.at/en/studies/international/incoming-exchange-students
mobilités,ERASMUS,Europe,Belgique,Anvers,UAntwerp,University of Antwerp,"51.223160, 4.408300",,2,5,Néerlandais B2 ou Anglais B2 (TOEFL 79-80),,,2,,outgoingstudents@uantwerpen.be,,outgoingstudents@uantwerpen.be,,,https://www.uantwerpen.be/en/about-uantwerp/faculties/design-sciences/,https://www.uantwerpen.be/en/about-uantwerp/faculties/design-sciences/studying-and-education/erasmus-and-exchange/course-catalogue-for/,https://medialibrary.uantwerpen.be/files/50671/d6dab579-ac32-4466-b87b-421bca5064c1.pdf
