Type,Cycle,Title,Student 1,Student 2,Student 3,Supervisor 1,Supervisor 2,Supervisor 3,Publication year,Continent,Country,Region,Département,City,Neighbourhood,Landmark,Geographic coordinates,Reference code,ArchiRès link
PFE (France),Master,"L'Alma, une architecture sociale pour changer d'image",Callista Martin,,,Julien Boitard,,,2025,Europe,France,Hauts-de-France,Nord,Roubaix,Quartier de l'Alma-Gare,,"50.69794420781379, 3.1675357258352523",E_PFE_03/2025/3548,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/578414/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Ré-habiter l'île Berder : vers un tourisme plus responsable,Elodie Détré,,,Stéphanie de Courtois,,,2025,Europe,France,Bretagne,Morbihan,,,Golfe du Morbihan,"47.57884509135004, -2.8869494003138207",E_PFE_03/2025/3537,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/577881/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"Les bouveries de la Haute-Borne, réhabiliter pour accompagner la future forêt de Maubuisson",Grégoire Truffaut,,,Matthias Armengaud,Stéphane Berthier,,2025,Europe,France,Île-de-France,Val-d'Oise,"Pierrelaye, Méry-sur-Oise, Saint-Ouen-l'Aumône",,Ferme de la Haute-Borne,"49.04517555519664, 2.1560104800442867",E_PFE_03/2025/3559,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/581234/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,VIV:R:E LA DECROISSANCE. Joinville laboratoire communal,Aït-Abida Inès,Grégoire Seurat,,Erwan Bonduelle,Helena Hiriart,,2025,Europe,France,Grand Est,Haute-Marne,Joinville,,,"48.4429086056635, 5.137555659784835",E_PFE_03/2025/3536,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/577660/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Réinventer l'habitat urbain à travers l'existant,Thibaud Salaün,,,Julien Boitard,,,2025,Europe,France,Île-de-France,Paris,Paris,11e arrondissement,,"48.86466637170572, 2.376795326280864",E_PFE_03/2025/3586,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/594716/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"Trames héritées, usages renouvelés: reconversion d'un site tertiaire en logements",Ornella Nedeljkovitch,Anaëlle Nicol,,Stéphane Berthier,,,2025,Europe,France,Île-de-France,Yvelines,"Montigny-le-Bretonneux, Saint-Quentin-en-Yvelines",,,"48.79488633947698, 2.033185103534181",E_PFE_03/2025/3598,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/595494/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Hypothèse d'une ruine,Carla Grama,,,Michela De Giacometti,Nicolas Pham,,2025,Europe,France,Auvergne-Rhône-Alpes,Allier,Laprugne,,Bourbonnais,"45.98625087863512, 3.742570447246227",E_PFE_03/2025/3631,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/599116/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"Une réhabilitation Archive, qui respecte le passé en préparant l'avenir",Léa Mehnana,Mihai Ceban,,Julien Boitard,,,2025,Europe,France,Île-de-France,Val-d'Oise,Cergy-Pontoise,,,"49.03426545237055, 2.08118557713494",E_PFE_03/2025/3596,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/595397/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Repenser l'architecture comme outil de soin et d'émancipation contre les violences conjugales,Dory Soulage,,,Fabien Duchene,,,2025,Europe,France,Île-de-France,Essonne,Corbeil-Essonnes,,,"48.61012322551248, 2.4748775234468847",E_PFE_03/2025/3602,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/595009/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Paris 2050: vers un nouveau vernaculaire parisien,Killian Dumolin,,,Guillaume Ramillien,,,2025,Europe,France,Île-de-France,Paris,Paris,,,"48.861653462592045, 2.3407796271707255",E_PFE_03/2025/3540,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/578287/id_int_bib/1/id_site/20/record_type/1
